ID,PARENT,PARENT_IAU,ID_IAU,EPOCH,A_SEMI_MAJOR_AXIS_KM,EC_ECCENTRICITY,W_ARG_PERIAPSIS_DEG,MA_MEAN_ANOMALY_DEG,IN_INCLINATION_DEG,OM_LONGITUDE_ASCENDING_NODE_DEG,PR_SIDEREAL_ORBIT_PERIOD_SEC,AXIAL_TILT_DEG,MEAN_RADIUS_KM,GM_KM3/S2,PERIOD_SEC,RETROGRADE_ROT,MODEL_TYPE
S2004_S_21,Saturn,6,65079,2451545,23160900,0.394,174.9,198.7,153.2,112.3,113712483,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_36,Saturn,6,65081,2451545,23390800,0.625,213.4,132,153.3,212.7,115413483,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_37,Saturn,6,65082,2451545,15956300,0.448,72.4,187.6,158.2,135.3,65020018,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_39,Saturn,6,65084,2451545,23192400,0.1,223.3,83.8,165.9,168.9,113939283,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_7,Saturn,6,65085,2451545,21327600,0.511,54.9,116.9,164.8,323.8,100476841,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2004_S_12,Saturn,6,65086,2451545,19801000,0.337,88.1,10.9,164.7,306,89889661,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_13,Saturn,6,65087,2451545,18453700,0.265,355.4,51.9,169,217.8,80878081,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_17,Saturn,6,65088,2451545,19699000,0.162,184.5,227.6,167.9,12.5,89196716,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2006_S_1,Saturn,6,65089,2451545,18746300,0.105,159.7,86.3,156.1,333.6,82799159,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2006_S_3,Saturn,6,65090,2451545,21353100,0.432,191.6,125.3,156.1,213.3,100657676,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2007_S_2,Saturn,6,65091,2451545,15939100,0.232,46.4,10,174,107.3,64914964,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2007_S_3,Saturn,6,65092,2451545,19614400,0.15,323.1,304.5,173.8,99.3,88620359,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2019_S_1,Saturn,6,65093,2451545,11245400,0.383,86.6,36.5,49.5,185.6,38462697,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2019_S_2,Saturn,6,65094,2451545,16560300,0.279,103.2,185.1,173.3,95.3,68746078,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S_3,Saturn,6,65095,2451545,17077400,0.248,129.2,150.3,166.9,243.9,71987763,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2020_S_1,Saturn,6,65096,2451545,11338600,0.337,73.2,2.1,48.2,161.7,38946718,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2020_S_2,Saturn,6,65097,2451545,17869000,0.152,130.7,19.2,170.7,96.2,77056497,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2004_S_40,Saturn,6,65098,2451545,16075600,0.297,127.5,291.4,169.2,37.9,65750340,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2006_S_9,Saturn,6,65100,2451545,14406700,0.249,341.9,65.2,173,36,55777861,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2007_S_5,Saturn,6,65101,2451545,15835600,0.104,44.4,23.2,158.4,128.9,64282084,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2020_S_3,Saturn,6,65102,2451545,18056800,0.142,317.6,135.8,46,216.8,78264662,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S_4,Saturn,6,65103,2451545,17951900,0.408,247,217.8,170.1,301.4,77594881,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2004_S_41,Saturn,6,65104,2451545,18095400,0.301,232.6,343.6,165.7,43.6,78528303,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2020_S_4,Saturn,6,65105,2451545,18236400,0.496,157.7,178.7,40.1,67.8,79446303,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S_5,Saturn,6,65106,2451545,18391000,0.22,285.7,232,48.2,214.9,80454721,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2007_S_6,Saturn,6,65107,2451545,18545000,0.168,19.2,347.8,166.5,324.1,81473342,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2004_S_42,Saturn,6,65108,2451545,18240700,0.158,107.2,325.2,165.7,3.9,79478038,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2006_S_10,Saturn,6,65109,2451545,18979900,0.151,79.7,173.5,161.6,350.8,84356104,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S_5,Saturn,6,65110,2451545,19090100,0.216,321.5,59.4,158.8,271.1,85092958,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2004_S_43,Saturn,6,65111,2451545,18935700,0.432,234,14.5,171.1,191.9,84054482,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_44,Saturn,6,65112,2451545,19515400,0.129,176.4,292.8,167.7,39.5,87947821,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2004_S_45,Saturn,6,65113,2451545,19693700,0.551,350.6,75.7,154,306,89152739,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2006_S_11,Saturn,6,65114,2451545,19711900,0.143,159.9,353.1,174.1,254.4,89281621,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2006_S_12,Saturn,6,65115,2451545,19570300,0.542,78.1,249.6,38.6,155.1,88325580,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S_6,Saturn,6,65116,2451545,18205600,0.12,286.9,185.7,46.4,154.2,79237924,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2006_S_13,Saturn,6,65117,2451545,19953300,0.313,254.7,248.5,162,44.4,90920102,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S_7,Saturn,6,65118,2451545,20185100,0.233,6.3,336,174.2,226.6,92517180,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S_8,Saturn,6,65119,2451545,20287400,0.311,144.6,31.8,172.8,168.6,93213539,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S_9,Saturn,6,65120,2451545,20359700,0.433,316.4,244.7,159.5,114.2,93711116,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_46,Saturn,6,65121,2451545,20513800,0.249,298.1,209.2,177.2,281.1,94779780,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S_10,Saturn,6,65122,2451545,20700300,0.248,352.9,149.5,163.9,274.7,96076143,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2004_S_47,Saturn,6,65123,2451545,16050700,0.291,295.4,25.2,160.9,294.8,65596617,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S_11,Saturn,6,65124,2451545,20664200,0.513,28.2,190.5,144.6,327.6,95827078,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2006_S_14,Saturn,6,65125,2451545,21062300,0.06,136.1,264.7,166.7,274.4,98605797,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S_12,Saturn,6,65126,2451545,20895000,0.476,240.2,221.1,167.1,324.7,97424580,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2020_S_6,Saturn,6,65127,2451545,21253300,0.48,27.9,271.2,166.9,7,99948479,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S_13,Saturn,6,65128,2451545,20964500,0.318,219.8,138.5,177.3,302.5,97914122,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2005_S_4,Saturn,6,65129,2451545,11324500,0.315,107.1,247.1,48,169.4,38873520,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2007_S_7,Saturn,6,65130,2451545,15931600,0.217,149.6,63.4,169.3,3.8,64868757,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2007_S_8,Saturn,6,65131,2451545,17048900,0.49,258.7,6.3,36.2,202.2,71816639,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2020_S_7,Saturn,6,65132,2451545,17394000,0.5,298.8,215.8,161.4,175.7,74004538,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S_14,Saturn,6,65133,2451545,17852800,0.172,303.2,240.9,46.2,149.6,76946700,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S_15,Saturn,6,65134,2451545,21191100,0.257,17.9,302.9,157.8,22,99503519,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2005_S_5,Saturn,6,65135,2451545,21364900,0.588,284.6,9.9,169.5,84.7,100738616,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2006_S_15,Saturn,6,65136,2451545,21799600,0.117,224.8,313.6,161.1,12.2,103826223,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2006_S_16,Saturn,6,65137,2451545,21721200,0.204,282.9,62.5,164.1,165.4,103259102,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2006_S_17,Saturn,6,65138,2451545,22384200,0.425,149.4,206.6,168.7,274.1,108040081,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_48,Saturn,6,65139,2451545,22137400,0.374,286.6,195,161.9,194.7,106260180,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2020_S_8,Saturn,6,65140,2451545,21967200,0.252,45,181.2,161.8,41.8,105028384,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2004_S_49,Saturn,6,65141,2451545,22399400,0.453,199,19.2,159.8,221.2,108145558,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_50,Saturn,6,65142,2451545,22345000,0.45,197.8,71.5,164,175.9,107757363,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2006_S_18,Saturn,6,65143,2451545,22760600,0.131,62.5,14.5,169.5,47.6,110772723,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S_16,Saturn,6,65144,2451545,23265200,0.25,280.6,351.8,162,206.7,114475317,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S_17,Saturn,6,65145,2451545,22722700,0.546,317,40.5,155.5,125.3,110502300,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S_18,Saturn,6,65146,2451545,23139500,0.509,304.5,340.4,154.6,230.6,113552703,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S_19,Saturn,6,65147,2451545,23044400,0.458,305.8,335.8,151.8,248.3,112852259,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S_20,Saturn,6,65148,2451545,23677900,0.354,198.6,281.1,156,176.6,117544383,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2006_S_19,Saturn,6,65149,2451545,23800500,0.467,19.2,195.9,175.5,281.1,118456137,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_51,Saturn,6,65150,2451545,25207100,0.201,73.4,85.1,171.2,293.7,129116817,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2020_S_9,Saturn,6,65151,2451545,25408700,0.531,171,46.4,161.4,15,130669978,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_52,Saturn,6,65152,2451545,26446400,0.291,292.6,333,165.4,204.7,138748620,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2007_S_9,Saturn,6,65153,2451545,20174600,0.36,125.3,240.3,159.3,269.4,92431316,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_53,Saturn,6,65154,2451545,23279800,0.24,284.3,37.3,162.6,215.7,114582298,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2020_S_10,Saturn,6,65155,2451545,25315300,0.296,213.5,158.8,165.6,243.6,129942844,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S_21,Saturn,6,65156,2451545,26439500,0.155,16.7,346.4,171.9,342.8,138696183,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2006_S_20,Saturn,6,65157,2451545,13193700,0.206,77.4,153.1,173.1,60.9,48884161,0,2.5,0.000000934402,38160,FALSE,TerrestrialBody
S2004_S54,Saturn,6,65158,2451545,11277500,0.373,108.4,69.3,48.1,80.2,38632982,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S55,Saturn,6,65159,2451545,11294700,0.26,80,59.6,48.9,196.6,38721180,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2004_S56,Saturn,6,65160,2451545,13670200,0.339,96.4,165.7,161.6,343.2,51554344,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2004_S57,Saturn,6,65161,2451545,18150500,0.263,60.9,202.7,167.9,39.1,78889559,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S58,Saturn,6,65162,2451545,18254500,0.249,120,180.1,45.7,284.5,79557422,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2004_S59,Saturn,6,65163,2451545,19170700,0.262,222.1,282.6,167.3,125.2,85638116,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2004_S60,Saturn,6,65164,2451545,19517000,0.28,264.3,357.6,173.8,321.7,87966302,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2004_S61,Saturn,6,65165,2451545,20986900,0.466,40.4,175.6,168.4,176.4,98069581,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2005_S06,Saturn,6,65166,2451545,18107300,0.084,77.4,163.4,47.7,166.5,78587582,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2005_S07,Saturn,6,65167,2451545,18502500,0.565,132.7,181.1,34.6,269.8,81193977,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2006_S21,Saturn,6,65168,2451545,14976500,0.204,157.4,40.7,169.8,328.3,59121481,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2006_S22,Saturn,6,65169,2451545,15109500,0.246,71.7,254.1,172,231.1,59911021,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2006_S23,Saturn,6,65170,2451545,18269700,0.19,72.5,309.9,43.8,257.1,79648980,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2006_S24,Saturn,6,65171,2451545,18210700,0.352,39.8,10.3,165.9,204.8,79277098,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2006_S25,Saturn,6,65172,2451545,18572400,0.303,130.1,348.5,158.8,277.4,81653884,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2006_S26,Saturn,6,65173,2451545,18619300,0.248,2.5,201,171.9,147.8,81965278,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2006_S27,Saturn,6,65174,2451545,19205700,0.14,91.6,6.1,170.5,3.7,85863361,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2006_S28,Saturn,6,65175,2451545,21955100,0.21,242.2,98.4,172.9,152.8,104935020,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2006_S29,Saturn,6,65176,2451545,25212100,0.239,301.4,101.5,156.2,82.4,129149277,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2007_S10,Saturn,6,65177,2451545,11364900,0.367,94.2,23.6,45.8,287.1,39083697,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2007_S11,Saturn,6,65178,2451545,17434400,0.499,348.9,233.9,35.5,53.9,74263081,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S22,Saturn,6,65179,2451545,11305100,0.369,100.5,223,47.3,21.1,38774160,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S23,Saturn,6,65180,2451545,11310200,0.255,81.5,1,48.7,356.3,38800564,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S24,Saturn,6,65181,2451545,11360500,0.345,74.7,79.3,46.7,205.3,39059220,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S25,Saturn,6,65182,2451545,11329400,0.271,73.9,358.9,48.1,213.7,38898844,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S26,Saturn,6,65183,2451545,11390900,0.365,111.3,164.1,48.1,119.7,39215940,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S27,Saturn,6,65184,2451545,16267000,0.42,97.2,152.1,162.1,115.1,66928317,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S28,Saturn,6,65185,2451545,17496000,0.199,95.6,307.9,158.4,268.3,74657704,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S29,Saturn,6,65186,2451545,17353900,0.441,332.7,133.8,37.7,306.9,73753019,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S30,Saturn,6,65187,2451545,17709900,0.107,5.3,187.8,168.3,356.8,76029477,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S31,Saturn,6,65188,2451545,17739100,0.488,37.8,35.2,39.8,173.7,76225622,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S32,Saturn,6,65189,2451545,17960500,0.276,281.4,20.1,46.2,218.1,77648397,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2019_S33,Saturn,6,65190,2451545,18696100,0.289,46.9,245.6,170.4,186.4,82471738,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S34,Saturn,6,65191,2451545,18446800,0.536,226.7,78.5,37.6,169.4,80822638,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S35,Saturn,6,65192,2451545,18557800,0.577,181.1,259,157.3,63.3,81561540,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S36,Saturn,6,65193,2451545,19903200,0.161,278.1,145.8,166.9,353.4,90583384,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S37,Saturn,6,65194,2451545,19996900,0.404,355.3,135.8,149.9,273.4,91219141,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S38,Saturn,6,65195,2451545,21998400,0.399,303.7,138.3,163,216.6,105258900,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S39,Saturn,6,65196,2451545,23784500,0.098,327,92.5,174.5,273.1,118337216,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S40,Saturn,6,65197,2451545,24087800,0.088,242.4,347.6,161.8,44.4,120603781,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S41,Saturn,6,65198,2451545,24493600,0.257,40,320.7,157.1,11.4,123664139,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S42,Saturn,6,65199,2451545,24111600,0.121,84.5,351.4,163.2,318.2,120785040,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2019_S43,Saturn,6,65200,2451545,26664100,0.277,108.2,306.2,165.3,116,140477760,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2019_S44,Saturn,6,65201,2451545,26796900,0.512,332.7,330.6,172.6,223,141532739,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S11,Saturn,6,65202,2451545,11295600,0.372,110.4,95.9,48.2,94.2,38725439,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S12,Saturn,6,65203,2451545,11314500,0.26,81.2,350.8,50.8,70.5,38821861,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S13,Saturn,6,65204,2451545,11415600,0.373,96.4,230.4,48,41.6,39345480,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S14,Saturn,6,65205,2451545,16186200,0.313,54.7,209.3,161.7,355.4,66429720,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S15,Saturn,6,65206,2451545,16729200,0.462,275.8,141.7,37.1,338.2,69796020,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S16,Saturn,6,65207,2451545,16963400,0.405,73.1,185.2,167.3,268.6,71273339,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S17,Saturn,6,65208,2451545,17094200,0.378,287.2,359,148.9,210.9,72096238,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2020_S18,Saturn,6,65209,2451545,17777900,0.18,165.9,218.7,168.9,204,76473962,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S19,Saturn,6,65210,2451545,17726700,0.159,65.5,80.4,48.1,56.1,76122124,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S20,Saturn,6,65211,2451545,17997300,0.133,230.5,330,169.8,92.9,77891760,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S21,Saturn,6,65212,2451545,18862100,0.307,188,95.5,169.9,328.3,83571299,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S22,Saturn,6,65213,2451545,19443000,0.059,38.4,128.8,161.3,271.4,87457622,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S23,Saturn,6,65214,2451545,19801500,0.089,61.5,65.1,165,153.6,89888460,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S24,Saturn,6,65215,2451545,20618300,0.23,114.8,301.4,159.6,42.2,95507277,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S25,Saturn,6,65216,2451545,20763700,0.316,329,318.1,171.8,242.2,96516481,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S26,Saturn,6,65217,2451545,21264400,0.273,143,141.3,163.2,252.9,100030982,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S27,Saturn,6,65218,2451545,21802300,0.255,314.6,32,145.3,324.5,103854182,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S28,Saturn,6,65219,2451545,21993700,0.474,226.7,2.2,160.1,60.9,105218819,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S29,Saturn,6,65220,2451545,22301400,0.047,298.7,115.9,169.1,255.9,107434020,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S30,Saturn,6,65221,2451545,21790700,0.601,352.3,60.3,154.2,132.1,103768016,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S31,Saturn,6,65222,2451545,22457300,0.238,196.2,0.1,163.8,148.1,108561902,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S32,Saturn,6,65223,2451545,21884100,0.502,198.2,88.9,169.1,351.6,104444519,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S33,Saturn,6,65224,2451545,22922500,0.555,4.3,165.2,162.8,161.7,111961440,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S34,Saturn,6,65225,2451545,22435600,0.154,162.8,116.4,160.6,7.7,108398036,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S35,Saturn,6,65226,2451545,23030300,0.225,19.8,98,174.9,344.7,112749002,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S36,Saturn,6,65227,2451545,22806200,0.336,139.7,216.1,168.8,26.9,111112923,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S37,Saturn,6,65228,2451545,23751800,0.344,211.7,182.3,174.8,25.1,118093378,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S38,Saturn,6,65229,2451545,23583900,0.513,246.3,99.4,159.7,284,116850358,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2020_S39,Saturn,6,65230,2451545,24262400,0.305,28.9,165.2,160.1,318.8,121922937,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S40,Saturn,6,65231,2451545,23785900,0.412,99.4,64,167.3,250.5,118346936,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S41,Saturn,6,65232,2451545,25876400,0.402,224.9,63.1,160.2,28.3,134300100,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S42,Saturn,6,65233,2451545,25329400,0.506,59.1,278.4,157.5,15.4,130058940,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S43,Saturn,6,65234,2451545,26657400,0.203,257,252.6,164.6,68.7,140425324,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2020_S44,Saturn,6,65235,2451545,27259400,0.199,283.8,318,168.5,28,145207382,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S01,Saturn,6,65236,2451545,11205400,0.386,296.8,263.4,48.8,159.6,38263380,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S02,Saturn,6,65237,2451545,11309900,0.339,117.3,257.2,45.7,253.8,38798222,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S03,Saturn,6,65238,2451545,17646400,0.178,264,272.6,46.9,93.7,75600060,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S04,Saturn,6,65239,2451545,17764600,0.276,9.5,123.9,170,264.4,76387199,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S05,Saturn,6,65240,2451545,25583500,0.599,94.9,334.2,168.8,235,132022380,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S06,Saturn,6,65241,2451545,11953100,0.336,103.7,133.4,47.4,54.4,42155338,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S07,Saturn,6,65242,2451545,12133700,0.284,102.5,102.3,44.7,289.7,43114438,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2023_S08,Saturn,6,65243,2451545,14018800,0.122,278.8,149.6,166.9,240.1,53541302,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S09,Saturn,6,65244,2451545,13167500,0.141,209.8,285.2,172.2,324.8,48739441,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S10,Saturn,6,65245,2451545,15500200,0.302,124.7,70.9,163,308.1,62250604,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S11,Saturn,6,65246,2451545,14046100,0.3,76.1,334.2,170.9,193,53697004,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S12,Saturn,6,65247,2451545,15805900,0.601,182.5,339.7,168.8,301,64101603,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S13,Saturn,6,65248,2451545,15193000,0.179,107.5,173.9,168.5,134.2,60409143,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S14,Saturn,6,65249,2451545,16853000,0.497,351.4,62.7,171.6,291.7,70576860,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S15,Saturn,6,65250,2451545,18241300,0.549,123.2,159.7,161.9,276.6,79482358,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S16,Saturn,6,65251,2451545,17005300,0.27,116.9,80,162.6,270.6,71531519,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S17,Saturn,6,65252,2451545,17385300,0.498,246.7,128.1,35.9,240.7,73952819,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S18,Saturn,6,65253,2451545,17381700,0.448,280,169.7,36.7,78.1,73928462,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S19,Saturn,6,65254,2451545,17590300,0.092,205.4,325.5,48.2,50.1,75247739,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S20,Saturn,6,65255,2451545,17261000,0.442,322.1,200.6,136.5,112.7,73160522,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S21,Saturn,6,65256,2451545,17755400,0.077,341.9,38.7,157.3,124.2,76317837,0,1.5,0.000000934402,38160,FALSE,TerrestrialBody
S2023_S22,Saturn,6,65257,2451545,18577500,0.182,266.5,4.2,47.5,121.8,81679977,0,2,0.000002269262,38160,FALSE,TerrestrialBody
