ID,ID_IAU,PARENT,PARENT_IAU,EPOCH,A_SEMI_MAJOR_AXIS_KM,EC_ECCENTRICITY,W_ARG_PERIAPSIS_DEG,MA_MEAN_ANOMALY_DEG,IN_INCLINATION_DEG,OM_LONGITUDE_ASCENDING_NODE_DEG,PR_SIDEREAL_ORBIT_PERIOD_SEC,AXIAL_TILT_DEG,MEAN_RADIUS_KM,GM_KM3/S2,PERIOD_SEC,RETROGRADE_ROT,MODEL_TYPE,GROUP,BODY_TYPE
Thelxinoe,542,Jupiter,599,2451545,20675083.8,0.1705,308.36,275.15,153.10,177.96,52479001,0,1,0.000002803206,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Arche,543,Jupiter,599,2451545,22467798.9,0.2056,173.10,33.91,160.45,335.60,59450490,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody,Carme,MinorBody
Kallichore,544,Jupiter,599,2451545,22134595.8,0.1622,346.87,66.71,164.12,20.03,58132907,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
Helike,545,Jupiter,599,2451545,20820746.5,0.1527,300.31,45.70,156.19,91.86,53034575,0,2,0.000002269262,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Carpo,546,Jupiter,599,2451545,16925449.3,0.2032,87.97,336.64,58.13,55.20,38870932,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody,Carpo,MinorBody
Eukelade,547,Jupiter,599,2451545,24227058.6,0.2215,296.90,234.22,167.33,208.87,66568026,0,2,0.000002269262,86400,FALSE,TerrestrialBody,Carme,MinorBody
Cyllene,548,Jupiter,599,2451545,23348689.7,0.2803,178.11,153.23,141.16,258.15,62980835,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
Kore,549,Jupiter,599,2451545,23658716.3,0.2478,136.07,40.61,135.12,326.47,64239390,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
Herse,550,Jupiter,599,2451545,23244172.4,0.3149,348.06,123.12,159.80,304.99,62558421,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2010_J_1,551,Jupiter,599,2451545,22433219.7,0.3211,180.65,183.40,159.43,291.25,59313296,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2010_J_2,552,Jupiter,599,2451545,21129672.6,0.2058,27.49,292.54,144.75,357.99,54219286,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Dia,553,Jupiter,599,2451545,12315848.5,0.1829,167.60,320.93,26.01,292.55,24127435,0,2,0.000002269262,86400,FALSE,TerrestrialBody,Himalia,MinorBody
S2016_J_1,554,Jupiter,599,2451545,20346348.6,0.3875,302.32,215.34,144.96,252.67,51232360,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Ananke,MinorBody
S2003_J_18,555,Jupiter,599,2451545,20788555.8,0.0639,86.70,252.68,148.03,169.07,52911628,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Ananke,MinorBody
S2011_J_2,556,Jupiter,599,2451545,23915758.8,0.5104,259.00,297.57,155.60,23.03,65289132,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
Eirene,557,Jupiter,599,2451545,22395271.6,0.2389,90.41,336.74,168.03,185.74,59162858,0,2,0.000002269262,86400,FALSE,TerrestrialBody,Carme,MinorBody
Philophrosyne,558,Jupiter,599,2451545,21808121.3,0.0915,4.87,88.80,145.96,239.28,56851513,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2017_J_1,559,Jupiter,599,2451545,22645916.8,0.2934,78.53,250.07,145.18,256.79,60158847,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
Eupheme,560,Jupiter,599,2451545,20943652.2,0.2902,77.75,339.85,150.31,232.88,53504865,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Ananke,MinorBody
S2003_J_19,561,Jupiter,599,2451545,23687125.5,0.1590,181.38,196.90,163.45,18.44,64355132,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
Valetudo,562,Jupiter,599,2451545,18738034.6,0.1482,319.54,90.44,30.58,290.28,45279404,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Valetudo,MinorBody
S2017_J_2,563,Jupiter,599,2451545,22061960.5,0.1960,150.29,278.16,162.36,358.63,57846995,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2017_J_3,564,Jupiter,599,2451545,21530706.7,0.2126,102.46,235.41,148.11,26.94,55770183,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Pandia,565,Jupiter,599,2451545,11547980.0,0.1456,193.37,158.49,28.20,247.42,21906535,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody,Himalia,MinorBody
S2017_J_5,566,Jupiter,599,2451545,23724366.2,0.3391,284.31,69.21,165.87,36.12,64506960,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2017_J_6,567,Jupiter,599,2451545,22523876.2,0.3469,16.98,146.04,140.43,315.67,59673202,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
S2017_J_7,568,Jupiter,599,2451545,20915465.7,0.3366,292.65,352.94,147.55,270.04,53396889,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Ananke,MinorBody
S2017_J_8,569,Jupiter,599,2451545,22381666.9,0.2605,322.46,349.40,166.10,91.25,59108956,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2017_J_9,570,Jupiter,599,2451545,21198115.5,0.2942,281.86,243.26,156.11,252.09,54482939,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Ersa,571,Jupiter,599,2451545,11342310.2,0.1373,297.69,270.84,31.59,118.03,21323914,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody,Himalia,MinorBody
S2011_J_1,572,Jupiter,599,2451545,23028486.9,0.1786,58.27,225.44,163.80,262.93,61689713,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2003_J_2,55501,Jupiter,599,2451545,20506574.8,0.1133,169.98,42.18,146.04,349.55,51838728,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Ananke,MinorBody
S2003_J_4,55502,Jupiter,599,2451545,22050391.9,0.2882,210.01,216.46,147.35,178.24,57801501,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
S2003_J_9,55503,Jupiter,599,2451545,22655684.9,0.2858,279.82,359.71,166.10,39.69,60197775,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2003_J_10,55504,Jupiter,599,2451545,23284925.9,0.2999,187.19,272.86,165.86,157.16,62723016,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2003_J_12,55505,Jupiter,599,2451545,21267268.6,0.1827,61.58,160.66,151.52,51.90,54749760,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Ananke,MinorBody
S2003_J_16,55506,Jupiter,599,2451545,21463898.1,0.3352,53.63,298.31,147.55,5.43,55510807,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Ananke,MinorBody
S2003_J_23,55507,Jupiter,599,2451545,23275913.7,0.5563,253.16,140.59,148.91,29.75,62686605,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
S2003_J_24,55508,Jupiter,599,2451545,22599460.6,0.3848,91.96,121.63,167.27,218.07,59973826,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2011_J_3,55509,Jupiter,599,2451545,11722490.0,0.1780,132.24,359.37,30.50,127.19,22404974,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody,Himalia,MinorBody
S2018_J_2,55510,Jupiter,599,2451545,11369370.1,0.1870,284.65,115.43,30.29,97.02,21400270,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody,Himalia,MinorBody
